orthography	glossing
a	e ɪ
a	æ
a	ɑ
a	ə
able	e ɪ b ə l
about	ə b a ʊ t
above	ə b ʌ v
act	æ k t
add	æ d
afraid	ə f ɹ e ɪ d
after	æ f t ɚ
again	ə ɡ e ɪ n
again	ə ɡ ɛ n
against	ə ɡ ɛ n s t
age	e ɪ d͡ʒ
ago	ə ɡ o ʊ
agree	ə ɡ ɹ i
air	ɛ ɚ
air	ɛ ɹ
all	ɔ l
allow	ə l a ʊ
also	ɔ l s o ʊ
always	ɑ l w e ɪ z
always	ɑ l w ə z
always	ɑ l w ɪ z
always	ɔ l w e ɪ z
always	ɔ l w ə z
always	ɔ l w ɪ z
among	ə m ɒ ŋ
among	ə m ʌ ŋ
an	æ n
an	ə n
anger	e ɪ ŋ ɡ ɚ
anger	æ ŋ ɡ ɚ
animal	æ n ɪ m ə l
answer	æ n s ɚ
any	ɛ n i
appear	ə p ɪ ɹ
apple	æ p ə l
are	ɑ ɹ
are	ɚ
are	ɛ ə ɹ
are	ɛ ɹ
area	ɛ ə ɹ i ə
area	ɛ ɹ i ə
arm	ɑ ɹ m
arrange	ə ɹ e ɪ n d͡ʒ
arrive	ə ɹ a ɪ v
art	ɑ ɹ t
as	æ s
as	æ z
ask	æ s k
atom	æ t ə m
baby	b e ɪ b i
back	b æ k
bad	b æ d
ball	b ɔ l
band	b æ n d
bank	b æ ŋ k
bar	b ɑ ɹ
base	b e ɪ s
basic	b e ɪ s ɪ k
bat	b æ t
be	b e ɪ
be	b i
be	b ə
be	b ɛ
be	b ɪ
bear	b ɛ ɚ
bear	b ɪ ɚ
beat	b i t
beauty	b j u t i
bed	b ɛ d
been	b i n
been	b ɛ n
been	b ɪ n
before	b i f ɔ ɹ
before	b ə f ɔ ɹ
before	b ɪ f ɔ ɹ
began	b ɪ ɡ æ n
begin	b i ɡ ɪ n
begin	b ə ɡ ɪ n
begin	b ɪ ɡ ɪ n
behind	b i h a ɪ n d
behind	b ə h a ɪ n d
behind	b ɪ h a ɪ n d
believe	b ɪ l i v
bell	b ɛ l
best	b ɛ s t
between	b ə t w i n
between	b ɪ t w i n
big	b ɪ ɡ
bird	b ɜ ɹ d
bit	b ɪ t
black	b l æ k
block	b l ɑ k
blood	b l ʌ d
blow	b l o ʊ
blue	b l u
board	b ɔ ɹ d
boat	b o ʊ t
body	b ɑ d i
bone	b o ʊ n
book	b ʊ k
born	b o ɹ n
both	b ə ʊ θ
bottom	b ɑ t ə m
bought	b ɔ t
box	b ɑ k s
boy	b ɔ ɪ
branch	b ɹ æ n t͡ʃ
bread	b ɹ ɛ d
break	b ɹ e ɪ k
bright	b ɹ a ɪ t
bring	b ɹ ɪ ŋ
broad	b ɹ ɑ d
broad	b ɹ ɔ d
broke	b ɹ o ʊ k
brother	b ɹ ʌ ð ɚ
brought	b ɹ ɔ t
brown	b ɹ a ʊ n
build	b ɪ l d
burn	b ɝ n
busy	b ɪ z i
but	b ʌ t
buy	b a ɪ
by	b a ɪ
call	k ɔ l
came	k e ɪ m
camp	k æ m p
can	k æ n
can	k ə n
can	k ɛ n
capital	k æ p ɪ t ə l
captain	k æ p t ə n
car	k ɑ ɹ
card	k ɑ ɹ d
care	k ɛ ɚ
case	k e ɪ s
cat	k æ t
catch	k æ t͡ʃ
catch	k ɛ t͡ʃ
caught	k ɔ t
cause	k ɔ z
cell	s ɛ l
cent	s ɛ n t
center	s ɛ n t ɚ
century	s ɛ n t ʃ ə ɹ i
certain	s ɝ t n
certain	s ɝ t ə n
certain	s ɝ ʔ n
certain	s ɝ ʔ ə n
chair	t͡ʃ ɛ ɚ
chance	t͡ʃ æ n s
chance	t͡ʃ ɑ n s
change	t͡ʃ e ɪ n d͡ʒ
charge	t͡ʃ ɑ ɹ d͡ʒ
chart	t͡ʃ ɑ ɹ t
check	t͡ʃ ɛ k
chick	t͡ʃ ɪ k
chief	t͡ʃ i f
child	t͡ʃ a ɪ l d
children	t͡ʃ ɪ l d ɹ ə n
choose	t͡ʃ u z
chord	k ɔ ɹ d
circle	s ɜ ɹ k ə l
city	s ɪ t i
city	s ɪ t ɪ
claim	k l e ɪ m
class	k l e ə s
class	k l æ s
clean	k l i n
clear	k l ɪ ɹ
climb	k l a ɪ m
clock	k l ɑ k
clock	k l ɔ k
close	k l o ʊ s
close	k l o ʊ z
clothe	k l o ʊ ð
cloud	k l a ʊ d
coast	k o ʊ s t
coat	k o ʊ t
cold	k o ʊ l d
collect	k ɑ l ɛ k t
collect	k ɑ l ɪ k t
collect	k ə l ɛ k t
colony	k ɑ l ə n i
colony	k ɔ l ə n i
color	k ʌ l ɚ
come	k ʌ m
common	k ɑ m ə n
common	k ɑ m ɪ n
company	k ʌ m p ə n i
compare	k ə m p ɛ ɚ
complete	k ə m p l i t
condition	k ə n d ɪ ʃ ə n
connect	k ə n ɛ k t
consider	k ə n s ɪ d ɚ
consonant	k ɑ n s n ə n t
consonant	k ɑ n s ə n ə n t
contain	k ə n t e ɪ n
continent	k ɑ n t ə n ə n t
continent	k ɑ n t ɪ n ə n t
continue	k ə n t ɪ n j u
control	k ə n t ɹ o ʊ l
cook	k ʊ k
cool	k u l
copy	k ɑ p i
corn	k ɔ ɹ n
corner	k ɔ ɹ n ɚ
correct	k ə ɹ ɛ k t
cost	k ɔ s t
cotton	k ɑ t ə n
count	k a ʊ n t
country	k ʌ n t ɹ i
course	k o ɹ s
course	k ɔ ɹ s
cover	k ʌ v ɚ
cow	k a ʊ
create	k ɹ i e ɪ t
crop	k ɹ ɑ p
cross	k ɹ ɔ s
crowd	k ɹ a ʊ d
cry	k ɹ a ɪ
current	k ɝ ə n t
current	k ɝ ɪ n t
current	k ʌ ɹ ə n t
cut	k ʌ t
dad	d æ d
dance	d æ n t s
dance	d ɑ n s
danger	d e ɪ n d͡ʒ ɚ
dark	d ɑ ɹ k
day	d e ɪ
dead	d ɛ d
deal	d i l
dear	d ɪ ɹ
death	d ɛ θ
decide	d ɪ s a ɪ d
decimal	d ɛ s m ə l
decimal	d ɛ s ə m ə l
decimal	d ɛ s ɪ m ə l
deep	d i p
degree	d ɪ ɡ ɹ i
depend	d ɪ p ɛ n d
describe	d ə s k ɹ a ɪ b
describe	d ɪ s k ɹ a ɪ b
desert	d ə z ɝ t
desert	d ɛ z ɚ t
desert	d ɪ z ɝ t
design	d ɪ z a ɪ n
determine	d ɪ t ɝ m ɪ n
